days,2025_VNINDEX,2024_VNINDEX,2023_VNINDEX,2025_DXY,2024_DXY,2023_DXY,2025_CL=F,2024_CL=F,2023_CL=F,2025_XAU_USD,2024_XAU_USD,2023_XAU_USD,2025_BTC_USD,2024_BTC_USD,2023_BTC_USD,2025_^DJI,2024_^DJI,2023_^DJI
24-Feb,0.027680775,0.079241384,-0.001828506,-0.017336622,0.024913059,0.009132478,-0.023533075,0.069305267,-0.055214612,0.119122055,-0.014943339,-0.003157244,-0.019980759,0.17012945,0.351713444,0.025837672,0.035852881,-0.00833973
25-Feb,0.026607598,0.079241384,-0.019441782,-0.016117593,0.024913059,0.015827242,-0.007487301,0.069305267,-0.044368055,0.106658723,-0.013972127,-0.00207936,-0.049197927,0.173273396,0.350732677,0.029517947,0.035852881,-0.006140621
26-Feb,0.026454068,0.079241384,-0.019441782,-0.021737135,0.024913059,0.015827242,-0.033008982,0.069305267,-0.044368055,0.106926502,-0.016252912,-0.002961896,-0.098660827,0.227187748,0.367381292,0.025207216,0.035852881,-0.006140621
27-Feb,0.030168755,0.090097651,-0.019441782,-0.01834634,0.02318162,0.015827242,-0.037205204,0.085273869,-0.044368055,0.094233173,-0.016545939,-0.001630786,-0.095386501,0.274195375,0.365753965,0.020749303,0.033374708,-0.006140621
28-Feb,0.028302978,0.103908269,-0.0160831,-0.011587669,0.023759743,0.009842016,-0.017588835,0.096353495,-0.053004486,0.087126955,-0.014022349,0.003892935,-0.098343082,0.369130695,0.34979003,0.034658117,0.032774524,-0.013206509
29-02,0.031374935,0.102457496,-0.000595344,-0.008697249,0.024530177,0.013760622,-0.020724096,0.092785626,-0.038616995,0.086764546,-0.010699699,0.011476736,-0.078681506,0.348229797,0.371356093,0.019839267,0.033990757,-0.013049095
01-Mar,0.031374935,0.106887859,-0.000595344,-0.008697249,0.026550953,0.013760622,-0.020724096,0.093808667,-0.038616995,0.086764546,0.007860405,0.011476736,-0.078681506,0.368528536,0.371356093,0.019839267,0.036324006,-0.013049095
02-Mar,0.031374935,0.109375385,-0.003420834,-0.008697249,0.024246162,0.007572488,-0.020724096,0.117569534,-0.027036001,0.087928696,0.008244569,0.011940201,0.016823024,0.361949724,0.364121042,0.019839267,0.033828295,-0.002586412
03-Mar,0.031374935,0.109375385,-0.015795392,-0.008697249,0.024246162,0.012841222,-0.020724096,0.117569534,-0.025106473,0.098011928,0.008934883,0.021221953,-0.069997378,0.380288048,0.316718913,0.019839267,0.033828295,0.009151664
04-Mar,0.033314829,0.109375385,-0.013443612,-0.017994386,0.024246162,0.008934192,-0.042024995,0.117569534,0.000955907,0.105462989,0.024011952,0.022093323,-0.056646744,0.462023965,0.316301697,0.004321073,0.033828295,0.010363748
05-Mar,0.027826592,0.116169327,-0.013443612,NULL,0.023861131,0.008934192,NULL,0.100100086,0.000955907,0.107222112,0.030580416,0.020211931,-0.041133842,0.39573994,0.31997739,NULL,0.023450288,0.010363748
06-Mar,NULL,0.110460576,-0.013443612,NULL,0.023475951,0.008934192,NULL,0.092607117,0.000955907,NULL,0.03892561,0.018620775,NULL,0.431877278,0.319720839,NULL,0.025416311,0.010363748
07-Mar,NULL,0.114998347,-0.00306577,NULL,0.018659459,0.006733908,NULL,0.10514705,0.008213188,NULL,0.044808142,0.004006664,NULL,0.444261475,0.310358799,NULL,0.028786649,-0.006835046
08-Mar,NULL,0.098356131,0.007860855,NULL,0.013045344,0.019869048,NULL,0.109949336,-0.031289922,NULL,0.053348547,0.000979257,NULL,0.464800876,0.287780282,NULL,0.027016662,-0.008602202
